id,interests,hashtags,caption
b698,Sample testers free products ,beardoil package gift sample pebbles ,"A curated box of surprise samples from select Indian brands that are sure to take you to your happy place with a dash of getting HYPD!

"
b6dc,work wear work women office look professional ,quaclothing workwear corporatefashion officelook ,"Ways to Wear Black Cotton Trousers

The tapered pair is cut to a clean, streamlined silhouette with slanted pockets and natural wood buttons. They’re cut from durable cotton woven with stretch so the slim-leg silhouette is flexible. We show you how to style these black pants in 4 different ways!
"
b6fa,work out activewear gym workout body toning active gym wear ,kicaactive workout gymwear activewear ,"She's anything but ordinary. Wearing Kica Active's earthy & rusty colours, looking like pure perfection.
"
b6fe,shirt graphic shirt quirky orinted shirt green mid week casual party ,destello fashion trending ootd shirt ,"Midweek feels. There's so much more to a week than just work 
"
b714,tailored  custom printed shirts casual everyday wear men ,mensclothing floralprint printedshirt beachvibes ,"Vibrant Tropical Shirt from 15 buttons, styled carefully for your next outdoor plan
"
b719,work out gym supplements protien energy hydration ,fast supplements energy gym ,Experience absolute beast mode during workouts with the @fastandup_india Pre-Workout & Plant Protein! What gets you in beast mode? 💪 
bbdc,workout gym vitamin energy protien hydration ,fast workout supplement energy ,"Keeps you active and energetic throughout the day
"
bbe0,skincare beauty makeup looking good routine vitamin c prolixr ,prolixrbeauty prolixr skincare hydration ,Keep your skin hydrated with @prolixr All-New Vitamin-C Serum💥 
bbe4,kica active kica fitness gym wear active wear gym clothes women ,kicaactive leggings fitness workoutwear ,"A hypnotising flow, and nope we aren’t going to stop watching 😍
"
bbe6,striped dress casual dress dress western wear fashion ,halffullhalfempty spaghettidress ootd fashion ,"Dresses with pockets >> ! 😍
"
bbe8,earrings accessories women ,peach earrings accessories cute ,Dream shopping! 🤷🏻‍♀️💁🏻‍♀️😂 
bbec,sneakers shoes men flatheads ,flatheads sneakers shoes kicks ,"This one's for all the old souls. Throw it back this Thursday with some foot-tapping classics and a Flatheads sneaker to keep you company as you dance the night away.
"
bbf8,earrings  jewellery accessories ,jewellerybymitalijain jewellery lookoftheday ,"Going with statement jewelry doesn't always mean going dramatic.
Go statement and minimal with @jewellerybymitalijain "
bbfc,flip flops slippers travel ,solethreads comfort black ,"Comfort Meets Raw Cinematic Talent in this super cool montage of the Freeway, made in collaboration with fellow Solester
"
bbfe,bags travelling trekking outdoors sustainable organic indian ,clanearth bags travelling wanderlust ,"*Sound on must* Tag a friend to share the energetic vibe and also let them know about India's first plastic-free backpack.
P.S.: Don't worry about the railway line walk. It's a rarely used line.
"
bc00,office wear casual work wear satin ,quaclothing corporatefashion ootd workwear ,"We are wearing our Watercolor Satin Shirt in 4 different ways.
"
bd6e,gym wear myriad activewear active  ,myriadactivewear beatingmondayblues coolpants ,"Dance x Fitness  ▶️ Now
Finding comfort and ease in all Myriad 🔃. "
bdf3,jewellery jewelry accessories ,jewellerybymitalijain jewellery bracelets rings ,Can never get enough of these beautiful jewellery designs. 
be18,kurtis suits palazzos ,halffullhalfempty ethnic kurta palazzo ,1 kurta and palazzo set styled in 3 ways 
be33,sneakers shoes kicks quirky ,funkfeets sneakers kicks shoes ,"Not just the sneakers, It’s an emotion ❤️ "
be38,tees tshirts blond frankocean ,offstreetcompany frankocean blond tshirt fashion ,"blond.
"
be45,shirts tailored shirts printed shirts tropical shirt vibrant ,beachvibes fastfashion ootd ,Vibrant Tropical Shirt featured alongside Zara and Pull & Bear.
be49,bags luxury bags lifestyle bags ,easthide handbags lookoftheday ,"Center of attention. Add a perfect statement to your look with our box bag in a citrusy lemon yellow hue.
"
c010,kurtis ethnic fashion indian ,kaalateeka kurti ethnic fashion ootd ,"Carnival Glass Kurti from Daybreak Spring Collection
"
c017,wallets purse leather ,thestruttstore wallets leather money ,"The Red Wine Native
Handcrafted with 100% Genuine Leather
"
c01b,lipstick make up matte glow glow oil ,disguisecosmetics lipstick glowoil skincare makeup ,"Whether to go out on a date, a virtual one or even a self-love session, we're always here to help you be YOU! <3
"
c01d,workout gymwear athleticwear ,one ,"She's anything but ordinary. @priyasblog wearing our earthy & rusty colours, looking like pure perfection.

Priya wears the cheer set, the charm crop top & sparkle fleece tracks"
c08c,Yoga Pilates workout exercise gym ,kicaactive workout gymwear yoga ,Flowing oh so beautifully! putting the dreamy set to test. 
c08e,skin skincare beauty ,prolixr skincare vitaminc serum ,"We cast the magic on your skin with our Magical Glow Drops ❣️
"
c090,flip flops slippers grass ,solethreads flipflops nature grass ,"Solethreads GRASS Synturf Natural-feel Patented Flip Flops.
One amongst our many innovative products.
"
c092,shirt back cut white ,halffullhalfempty shirt ootd looks ,"Back Cut White Shirt styled in different ways😍
"
c094,clutch bags wooden handpainted printed ,memeraki clutchbags ethnic ,"The joy of creation, the joy that we hope you experience as well when you get something from us. The paper mache clutches go through a long journey of creation - the base made in Kashmir by our Kashmiri artisans then sent to Delhi to our Manufacturing unit for all the fittings and finishing, and then back to artists across India to be painted. In this particular case back to Kashmir for these beautiful flowers from Kashmir ❤️ "
c096,quirky sneakers kicks shoes ,funkfeets quirky sneakers kicks ,"Buy The Most Quirkiest Sneakers
"
c098,shirts plaid pink ,destello shirt plaidshirt ootd ,"All ready to reel into a fresh week.
"
c09a,accessories cute ,peach earrings jewellery ,"What’s in the box for you peaches!! 🌸💌
We believe that the tiniest of details matter and that is why each of our pieces comes with an experience of their own! ✨ "
c0a3,hiking trekking travel nature travel bags accessories ,clanearth backpacks wanderlust travel ,"Sound on. 😌 Watch till end to get a glimpse of the beautiful route to Dzukou valley. We were so pumped up to test all our bags. So, we carried all of them upto the Dzukou valley.
Our Pangolin backpack saw filling itself to the brim with things for 7 days, Dust, Being thrown in trucks, and Mesmerizing valleys. And it lived with elan through everything with its natural charm.
"
c0a5,shirt satin shirt fashion formal wear ,quaclothing satin shirt formalwear ,"How we are wearing our Watercolor Satin Shirt in 4 different ways.
"
c0b9,suit stretch wool ,quaclothing formalwear corporatefashion ootd ,"Mothers. Daughters. Sisters. Best Friend. Boss. Teacher.
"
c0e0,gym workout yoga exercise ,myriadactivewear fitness yoga wellness ,"Here is a Yoga Flow that you can do first thing in the morning or when you need a little wake-up anytime during the day. Start your day off with the right intention, efficient movement and mindful breathwork! 🧘🏼‍♂️😍
"
c0e7,earrings quirky ,gonecase jewellery earrings lookoftheday ,"Gonecase is all about the personal attention and love that makers and artisans infuse into their work is just evident in the masterpiece they create.
Try pairing this out-of-the-box pair of Shankh Earrings with multicoloured beadwork and Frida Clutch bag for your office meeting and catch people envying your choice of jewellery.
"
c0f4,liquid lipstick matte beauty ,houseofmakeup lipstick makeup beauty ,"Swatching some of my favourites from @houseofmakeupofficial 💋
Shades:
1. Low key
2. Keeper
3. Drama queen
"
c119,roses kurtis ,kaalateeka fashion kurti ethnic ,"""All my life's a circle; Sunrise and sundown; Moon rolls thru the nighttime; Till the daybreak comes around.""- Harry Chapin

So, all we need is a Daybreak from this Summer.

•Daybreak Spring•
"
c11c,wallets leather ,thestruttstore wallets batua ,"The Crushed Tan Native Batua
"
c130,glow oil beauty ,disguisecosmetics glowoil skincare loveyourskin ,It's been a lovely long weekend and such a fun change from the rest of the year. Hope all of you'll have a good time with friends and family all while staying safe and kind. All we need now is a little TLC for our skin! 
c146,workout exercise gym healthy yoga ,kicaactive riseandshine dancing ,Shine bright in the Sparkle & Bright Set. Dance like no one is watching 😍 💃🏽
57e8,skin skincare facemask ,prolixr skincare fuckpores vitaminc ,"10 minutes are enough to give your pores some tough time😉😉
"
57ed,shirt scarf tie shirt ,halffullhalfempty scarftie allblack shirt ,Monday outfit inspiration 😍💛 
57ef,handpainted bags clutch bags wooden ,memeraki clutchbags ethnic festiveszn ,"I’ve often wondered how I can take you to my world and show you what it truly feels to work with the traditional and folk art forms of India. There’s no single frame nor emotion that can describe the immeasurable beauty of art. So I requested our miniature artist to chronicle the creation of one of our wood clutches from beginning to fruition. Here! We present to you our labour of love.
"
57f2,sneakers kicks shoes quirky ,funkfeets sneakers shoes kicks ,"Expressive turns impressive ❤️
"
57f4,black and white graphic print shirt ,destello fashion ootd blackandwhite ,"Ready to Saturday? 🤩
"
57f6,earrings handmade ,peach earrings jewellery handmade ,"Dream shopping! 🤷🏻‍♀️💁🏻‍♀️😂
Reels to reality! 💥
"
bebf,satin shirt ,quaclothing satin shirt corporatefashion ,"Our timeless wardrobe basics in lightweight luxury fabrics are designed to keep you comfortable at home, at work and while travelling.
"
bf2a,work out exercise gym fitness ,myriadactivewear croptop sportsbra fitness ,Remix to Shake a leg or two on the World Dance Day 
bf43,earrings unique ,gonecase jewellery earrings embroidered ,"Gonecase is all about making handcrafted products with their uniqueness.
These Owly earrings are one of our Bestselling and Quirkiest too.
"
bf5d,lipstick matte ,houseofmakeup brownlipstick lipstick beauty ,Wearing “Brown with it” 🤎 
bf93,mask covid pollution ,thestruttstore facemask pollution ,"Presenting the Strutt Q-Shield Masks.
They are specially designed to protect you from both Covid-19, and pollution
"
bfd7,kajal eyeliner mascara ,disguisecosmetics kajal look beauty ,"Remember the parts of the eye we took you through? Well, the waterline is an important one when it comes to Kajal - it's where it usually goes to give your eyes a natural look. But wait, how do you put kajal on your lower waterline and even the upper one? Watch the video to find out!
"
bff3,skin care skin ,brownskinbeauty skincare brownisbeautiful ,"Beautiful inside out! 🤎🤎
"
c041,heels loafers footwear ,misfitpanda footwear festival heels ,"Make this festive season a little different, a little more special, and above all memorable with Misfit Panda's brand new collection.
"
c066,workout gym fitness ,kicaactive sportsbra fitness gymlook ,"Watch how she flows 😍
"
c069,skin care skin glow ,prolixrbeauty prolixr skincare vitaminc ,Keep your skin hydrated with @prolixr All-New Vitamin-C Serum💥  @enjoying the routine💕💕 
c080,skin care glow ,prolixr skincare vitaminc serum ,"My weekend vibes start with Skincare ❣️
"
c1a9,date style ,halffullhalfempty cinchedshirt fashion ootd ,Styling the Checkered Cinched Shirt for the perfect date look! 🌸❤️ 
c1b5,silk clutch bags ,memeraki clutchbags ethnic handpainted ,"Introducing our new collection of handpainted silk bags in Pichwai, Pattachitra, Gond, Madhubani and Miniature art "
c1b8,resort casual wear ,destello fashion resortshirt casual ,"How to turn a resort shirt into semi-casual wear. Ever wondered? Well, here to show you exactly that. 😃 "
c1bb,quirky  earrings handmade ,peach earrings jewellery handmade ,Wish it was this quick! 💁🏻‍♀️💥 
cb8e,formal suit workplace ,StylingQua quaclothing corporatefashion ootd suit ,
cbb9,activewear fitness ,myriadactivewear fitness ootd ,"HIGH ALERT 🚨 Myriad Presents their SS18 LIVE ONLINE exclusively
"
ccae,handmade earrings ,gonecase accessories earrings lookoftheday ,"Pink Lotus Embroidered Earrings

This handmade art jewelry is a statement piece that will be full of blessings and super stylish for you. Handcrafted with embroidered finishing to add the glam to your look. "
ccc1,lipstick matte ,houseofmakeup lipstick beauty makeup ,Can’t get over the transition! Product used - Drama Queen 
ccd4,kurti printed ,kaalateeka kurti ethnic carnival ,Tum ho 🤍 
cce1,kajal eyeliner ,disguisecosmetics kajal looks ,"If you're a kajal lover like most of us, you've definitely tried a classic black and maybe even a few colours. But have you tried a nude kajal?

Meet our Ultra Smooth 2-in-1 Kajal + Eyeliner in Nude Quartz for a few amazing tricks!
- A thin line along your lower waterline makes the eyes look instantly brighter
- Use the product on the inner corner of your eyes to make them appear wider
- You can also use some of the product in the centre of your lid to make your eyes pop a little :)
"
ccf3,skincare serum ,brownskinbeauty skincare vitaminc serum ,"To all the BrownBeauties watching this, always remember — whatever your brown, it’s beautiful 🤎 "
cd04,sandals stylish ,misfitpanda sandals footwear ,Stay elegant and uber cool just with Misfit Panda. 
cd06,fitness workout gym ,kicaactive nothingcanstopus workout grindset ,That new outfit feeling 😍 
cd08,skincare glow ,prolixr skincare vitaminc glow ,"Get Set Glow✨
Have you gotten your hands on Prolixr's complete skincare routine yet? 🤩 "
cd1b,blazer dress ,halffullhalfempty blazer dress ,Get ready for Valentine’s Day with the Blazer Dress 💥😍 
cd28,floral check shirt ,destello fashion checkshirt floral ,"Stepping into the weekend in some floral style. Have a great weekend everyone 💓
"
cd3d,earrings handmade ,peach earrings handmade earring clay yellow marble chiffon ,"@harshitaaroopchandani effortlessly styled our peaches! The only summer romance you need! 🌸❤️🌸
"
cd45,trousers cotton ,StylingQua quaclothing stylingqua corporatefashion workwear ,
cd58,wooden embroidered earrings ,gonecase earrings embroidered ethnic ,"Patience, Perspectives and vision behind Gonecase are to make sure the quality, and creativity is always in place.

We make sure each handcrafted piece is made with love. "
cec6,lipstick matte ,houseofmakeup lipstick beauty makeup ,"Product:

@houseofmakeupofficial pout potion liquid lipsticks in low Key

Pout Potion: very first range of liquid lipsticks an elixir for lipstick lovers. Eat it up all you want! It is Halal Quality Control (HQC) certified and meets the standards of production like the elimination of using animal fat, alcohol, and even GMOs.

About the lipstick:

• lightweight formulation

• highly pigmented

comfortable matte

doesn't settle into fine lines

Highly recommended Ratings - 4.5/5
"
cef0,ethnic dress ,kaalateeka dress ootd ethnic ,In the Suffusion Dress from Daybreak Spring Collection. 
cf12,beard styling ,spruceshaveclub grooming beard beardcare ,"It’s literally that easy. Cleanse. Nourish. Comb. Condition. Style. And 💥 you’re ready to go!

We design our products to solve all of your grooming woes. Our beard care regimen is crafted with a pure essential oils, natural extracts and vitamins to deliver a safer & more effective beard care experience!
"
cf16,shaving beard ,bombayshavingcompany grooming mondayfreshness ,"What better way to start off a Monday than with some ASMR?
"
cf18,workout gym fitness ,kicaactive workout gymwear ,"@nanakisingh putting our beam leggings to the test. A hypnotising flow, and nope we aren’t going to stop watching 😍 "
cf1a,skin care glow ,prolixr skincare facemask seaalgae vitaminc ,"Having open pores and dull skin?
No worries, we are here for the rescue! 😉🥰💞
"
cf21,dress ootd ,ootd halffullhalfempty flaredtop fashion ,"Stepping into the fall hues 🍂
Styling the Smocked Flared Top for my "
cf24,beard shaving ,bombayshavingcompany beard shaving smooth ,"Maintain your mane in style with the Beard Maintenance Kit! 🧴✂️
"
cf28,skin care glow ,brownskinbeauty skincare brownisbeautiful glowing ,"“Whatever your brown, it’s beautiful!”

So thrilled to have a skin routine that actually WORKS on my brown skin! This is how I use my @brownskinbeautyofficial Immortal range everyday. My skin is so happy! 💗 "
cf2a,shaving beard ,spruceshaveclub shaving beard shavingessentials ,"Follow us for all the grooming tips you need @spruceshaveclub 🪒
"
cf2c,skincare beverages ,auric skincare beverage radiance ,"Auric Skin Radiance Juice
"
cf2e,printed shirt casual ,destello printedshirt casualshirt beachvibes ,"Raphael Feather Print Shirt by Destello
"
cf30,heels flats ,paioshoes heels mule formalfootwear ,"Cruelty-free, sustainable, handcrafted women's footwear by Paio.
"
cf32,beard oil growth ,beard beard spruceshaveclub beardcare beardgrowth beardoil ,To 
cf36,lipstick matte ,houseofmakeup makeuproutine mattelipstick lookoftheday ,
cf38,formal suit ,quaclothing formals suit pantsuit workwear ,"""It's a new year, a new dawn, a new day for me and I'm feeling good!”
"
cf3a,handmade earrings ,gonecase handmade earrings ,"One of our best selling earrings.
"
